Records,Type,Value,
academyforlife.va,MX,mx11.vatican.va,
academyforlife.va,MX,mx12.vatican.va,
academyforlife.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
accreditamenti.salastampa.va,A,185.152.70.143,
acdf.va,MX,mx11.vatican.va,
acdf.va,MX,mx12.vatican.va,
acdf.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
acdlife.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
acdscience.va,MX,mx11.vatican.va,
acdscience.va,MX,mx12.vatican.va,
acdscience.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
acdscsoc.va,MX,mx11.vatican.va,
acdscsoc.va,MX,mx12.vatican.va,
acdscsoc.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
adtempus.va,MX,mx11.vatican.va,
adtempus.va,MX,mx12.vatican.va,
adtempus.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
adv.rv.va,A,185.152.70.45,
aif.va,MX,mx11.vatican.va,
aif.va,MX,mx12.vatican.va,
aif.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
alleluia.vatican.va,CNAME,michael.vatican.va.,
americalatina.va,MX,mx11.vatican.va,
americalatina.va,MX,mx12.vatican.va,
americalatina.va,TXT,google-site-verification=OZfMLh3i3SsK2cVmBpTLYk7QzTmgOBD0ETviqzVAnYk,
americalatina.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
analytics.catholica.va,A,212.77.4.66,
analytics.spc.va,CNAME,rvproxy-inter.spc.va.,
andrea.spc.va,A,185.152.69.154,
annusfidei.va,MX,mx11.vatican.va,
annusfidei.va,MX,mx12.vatican.va,
annusfidei.va,TXT,google-site-verification=zLWpc9c86MP5E_LYAfZI7EBe4lmB2g6PyMaVe4hUFQ8,
annusfidei.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
